Subkey;Values
\Classes\.appcontent-ms;"(default): ApplicationContent; Content Type: application/windows-appcontent+xml"
\Classes\.application;"(default): Application.Manifest; Content Type: application/x-ms-application"
\Classes\.appref-ms;(default): Application.Reference
\Classes\.aps\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.aps;
\Classes\.ari\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.ari\ShellEx;
\Classes\.ari;"Content Type: image/ARI; PerceivedType: image"
\Classes\.art\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.art;
\Classes\.arw\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.arw\ShellEx;
\Classes\.arw;"Content Type: image/ARW; PerceivedType: image"
\Classes\.asa;(default): aspfile
\Classes\.asc\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.asc;
\Classes\.ascx\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.ascx;
\Classes\.asd;"(default): Word.AutoRecovery.8; Content Type: application/msword"
\Classes\.asf\OpenWithProgIds;WMP11.AssocFile.ASF: 0
\Classes\.asf\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.asf\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.asf\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.asf\ShellEx;
\Classes\.asf;"(default): WMP11.AssocFile.ASF; Content Type: video/x-ms-asf; PerceivedType: video"
\Classes\.asm\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.asm;"PerceivedType: text; (default): Assembler source code"
\Classes\.asmx;PerceivedType: text
\Classes\.asp\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.asp;(default): aspfile
\Classes\.aspx\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.aspx;PerceivedType: text
\Classes\.asx\OpenWithProgIds;WMP11.AssocFile.ASX: 0
\Classes\.asx\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.asx;"PerceivedType: video; Content Type: video/x-ms-asf; (default): VLC.asx; VLC.backup: WMP11.AssocFile.ASX"
\Classes\.atc;(default): wireshark-capture-file
\Classes\.au\OpenWithProgIds;WMP11.AssocFile.AU: 0
\Classes\.au\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.au;"PerceivedType: audio; Content Type: audio/basic; (default): VLC.au; VLC.backup: WMP11.AssocFile.AU"
\Classes\.avci;"ContentType: image/avci; PerceivedType: image"
\Classes\.avcs;"ContentType: image/avcs; PerceivedType: image"
\Classes\.avi\OpenWithProgIds;WMP11.AssocFile.AVI: 0
\Classes\.avi\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.avi\ShellEx\{3D1975AF-0FC3-463d-8965-4DC6B5A840F4};(default): 0
\Classes\.avi\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.avi\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.avi\ShellEx;
\Classes\.avi;"(default): WMP11.AssocFile.AVI; Content Type: video/avi; PerceivedType: video"
\Classes\.avif\OpenWithProgids;paint.net.1: 0
\Classes\.avif;"ContentType: image/avif; PerceivedType: image"
\Classes\.avifs;"ContentType: image/avif-sequence; PerceivedType: image"
\Classes\.aw;(default): AWFile
\Classes\.b4s;(default): VLC.b4s
\Classes\.bas\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.bas;
\Classes\.bat\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.bat;(default): batfile
\Classes\.bay\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.bay\ShellEx;
\Classes\.bay;"Content Type: image/BAY; PerceivedType: image"
\Classes\.bcp\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.bcp;
\Classes\.bfr;(default): wireshark-capture-file
\Classes\.bik;(default): VLC.bik
\Classes\.bin\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.bin;NoOpen: 0
\Classes\.bkf\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.bkf;
\Classes\.blg;(default): Diagnostic.Perfmon.Document
\Classes\.bmp\OpenWithList\MSPaint.exe;(default): 0
\Classes\.bmp\OpenWithList;
\Classes\.bmp\OpenWithProgids;paint.net.1: 0
\Classes\.bmp\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.bmp;"(default): Paint.Picture; Content Type: image/bmp; PerceivedType: image"
\Classes\.bpdx\AcrobatBPDXFileType\ShellNew;
\Classes\.bpdx\AcrobatBPDXFileType;
\Classes\.bpdx\OpenWithProgids;"(default): 0; Acrobat.AcrobatBPDXFileType: 0"
\Classes\.bpdx;(default): AcrobatBPDXFileType
\Classes\.bsc\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.bsc;
\Classes\.btwkey\OpenWithProgids;BTWKey File: 0
\Classes\.btwkey;(default): BTWKey File
\Classes\.bz2\OpenWithProgids;ArchiveFolder: 0
\Classes\.bz2\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.bz2;"(default): ArchiveFolder; Content Type: application/x-compressed; PerceivedType: compressed"
\Classes\.c\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.c;PerceivedType: text
\Classes\.cab\OpenWithProgids;CABFolder: 0
\Classes\.cab\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.cab;"(default): CABFolder; PerceivedType: compressed"
\Classes\.caf;(default): VLC.caf
\Classes\.camp;(default): campfile
\Classes\.cap;"Content Type: image/CAP; PerceivedType: image; (default): wireshark-capture-file"
\Classes\.cat;"(default): CATFile; Content Type: application/vnd.ms-pki.seccat"
\Classes\.cc\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.cc;
\Classes\.cda\OpenWithProgIds;WMP11.AssocFile.CDA: 0
