Subkey;Values
\Classes\.cda\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.cda;"(default): VLC.cda; VLC.backup: WMP11.AssocFile.CDA"
\Classes\.cdmp;(default): cdmpfile
\Classes\.cdx;(default): aspfile
\Classes\.cdxml;"(default): Microsoft.PowerShellCmdletDefinitionXML.1; PerceivedType: Text"
\Classes\.cer;"(default): CERFile; Content Type: application/x-x509-ca-cert"
\Classes\.CETRAINER;(default): CheatEngine
\Classes\.cgm\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.cgm;
\Classes\.chk;"(default): chkfile; PerceivedType: system"
\Classes\.chm;(default): chm.file
\Classes\.cls\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.cls;
\Classes\.cmd\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.cmd;(default): cmdfile
\Classes\.cod\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.cod;
\Classes\.com\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.com;(default): comfile
\Classes\.compositefont;(default): Windows.CompositeFont
\Classes\.contact\shellex\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {13D3C4B8-B179-4ebb-BF62-F704173E7448}
\Classes\.contact\shellex;
\Classes\.contact\ShellNew;"command: ""%programFiles%\Windows Mail\Wab.exe"" /CreateContact ""%1""; iconpath: %ProgramFiles%\Windows Mail\wab.exe,1; MenuText: @%CommonProgramFiles%\system\wab32res.dll,-10203"
\Classes\.contact;Content Type: text/x-ms-contact
\Classes\.cpl\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.cpl;"(default): cplfile; Generic: system"
\Classes\.cpp\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.cpp;PerceivedType: text
\Classes\.cr2\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.cr2\ShellEx;
\Classes\.cr2;"Content Type: image/CR2; PerceivedType: image"
\Classes\.cr3\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.cr3\ShellEx;
\Classes\.cr3;"Content Type: image/CR3; PerceivedType: image"
\Classes\.crl;"(default): CRLFile; Content Type: application/pkix-crl"
\Classes\.crt;"(default): CERFile; Content Type: application/x-x509-ca-cert"
\Classes\.crtx;(default): CRTXFile
\Classes\.crw\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.crw\ShellEx;
\Classes\.crw;"Content Type: image/CRW; PerceivedType: image"
\Classes\.cs\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.cs;
\Classes\.csa\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.csa;
\Classes\.csproj\PersistentHandler;(default): {7E9D8D44-6926-426F-AA2B-217A819A5CCE}
\Classes\.csproj;
\Classes\.css\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.css;"(default): CSSfile; Content Type: text/css; PerceivedType: text"
\Classes\.csv\PersistentHandler;(default): {5E941D80-BF96-11CD-B579-08002B30BFEB}
\Classes\.csv;"(default): Excel.CSV; Content Type: application/vnd.ms-excel; PerceivedType: text"
\Classes\.CT;(default): CheatEngine
\Classes\.cue;(default): VLC.cue
\Classes\.cur\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.cur;(default): curfile
\Classes\.cxx\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.cxx;PerceivedType: text
\Classes\.dav;(default): VLC.dav
\Classes\.db;(default): dbfile
\Classes\.dbg\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.dbg;
\Classes\.dbs\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.dbs;
\Classes\.dcr\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.dcr\ShellEx;
\Classes\.dcr;"Content Type: image/DCR; PerceivedType: image"
\Classes\.dcs\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.dcs\ShellEx;
\Classes\.dcs;"Content Type: image/DCS; PerceivedType: image"
\Classes\.dct\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.dct;
\Classes\.dctx;(default): IMEDictionaryCompiler
\Classes\.dctxc;(default): IMEDictionaryCompiler
\Classes\.dds\OpenWithProgids;paint.net.1: 0
\Classes\.dds;"(default): ddsfile; Content Type: image/vnd.ms-dds; PerceivedType: image"
\Classes\.def\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.def;PerceivedType: text
\Classes\.der;"(default): CERFile; Content Type: application/x-x509-ca-cert"
\Classes\.desklink\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.desklink;(default): CLSID\{9E56BE61-C50F-11CF-9A2C-00A0C90A90CE}
\Classes\.deskthemepack;(default): desktopthemepackfile
\Classes\.det;(default): Outlook.File.det.15
\Classes\.dev;(default): DevCpp.dev
\Classes\.devpackage;(default): DevCpp.devpackage
\Classes\.devpak;(default): DevCpp.devpak
\Classes\.diagcab;(default): Diagnostic.Cabinet
\Classes\.diagcfg;(default): Diagnostic.Config
\Classes\.diagpkg;(default): Diagnostic.Document
\Classes\.dib\OpenWithProgids;paint.net.1: 0
\Classes\.dib\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.dib;"Content Type: image/bmp; PerceivedType: image"
\Classes\.dic\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.dic;
\Classes\.diz;PerceivedType: text
\Classes\.dll\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.dll;"(default): dllfile; Content Type: application/x-msdownload"
\Classes\.dl_\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.dl_;
\Classes\.dng\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.dng\ShellEx;
\Classes\.dng;"Content Type: image/DNG; PerceivedType: image"
\Classes\.doc\PersistentHandler;(default): {98de59a0-d175-11cd-a7bd-00006b827d94}
\Classes\.doc\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {84F66100-FF7C-4fb4-B0C0-02CD7FB668FE}
\Classes\.doc\ShellEx;
\Classes\.doc;"(default): Word.Document.8; Content Type: application/msword"
\Classes\.dochtml;(default): wordhtmlfile
\Classes\.docm\PersistentHandler;(default): {D3B41FA1-01E3-49AF-AA25-1D0D824275AE}
\Classes\.docm\ShellEx\PropertyHandler;(default): {5985FC23-2588-4D9A-B38B-7E7AFFAB3155}
\Classes\.docm\ShellEx\{BB2E617C-0920-11d1-9A0B-00C04FC2D6C1};(default): {355822FC-86F1-4BE8-B5F0-A33736789641}
\Classes\.docm\ShellEx;
\Classes\.docm;"(default): Word.DocumentMacroEnabled.12; Content Type: application/vnd.ms-word.document.macroEnabled.12; PerceivedType: document"
\Classes\.docmhtml;(default): wordmhtmlfile
\Classes\.docx\OpenWithList\WordPad.exe;(default): 0
\Classes\.docx\OpenWithList;
\Classes\.docx\PersistentHandler;(default): {D3B41FA1-01E3-49AF-AA25-1D0D824275AE}
\Classes\.docx\ShellEx\PropertyHandler;(default): {5985FC23-2588-4D9A-B38B-7E7AFFAB3155}
\Classes\.docx\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {84F66100-FF7C-4fb4-B0C0-02CD7FB668FE}
\Classes\.docx\ShellEx\{BB2E617C-0920-11d1-9A0B-00C04FC2D6C1};(default): {355822FC-86F1-4BE8-B5F0-A33736789641}
\Classes\.docx\ShellEx;
\Classes\.docx\Word.Document.12\ShellNew;FileName: C:\Program Files\Microsoft Office\Root\VFS\Windows\ShellNew\word.docx
\Classes\.docx\Word.Document.12;
\Classes\.docx;"PerceivedType: document; (default): Word.Document.12; Content Type: application/vnd.openxmlformats-officedocument.wordprocessingml.document"
\Classes\.docxml;(default): wordxmlfile
\Classes\.dos\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.dos;NoOpen: 0
\Classes\.dot\PersistentHandler;(default): {98de59a0-d175-11cd-a7bd-00006b827d94}
\Classes\.dot\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {84F66100-FF7C-4fb4-B0C0-02CD7FB668FE}
\Classes\.dot\ShellEx;
\Classes\.dot;"(default): Word.Template.8; Content Type: application/msword"
\Classes\.dothtml;(default): wordhtmltemplate
\Classes\.dotm\ShellEx\PropertyHandler;(default): {5985FC23-2588-4D9A-B38B-7E7AFFAB3155}
\Classes\.dotm\ShellEx\{BB2E617C-0920-11d1-9A0B-00C04FC2D6C1};(default): {355822FC-86F1-4BE8-B5F0-A33736789641}
\Classes\.dotm\ShellEx;
\Classes\.dotm;"(default): Word.TemplateMacroEnabled.12; Content Type: application/vnd.ms-word.template.macroEnabled.12; PerceivedType: document"
\Classes\.dotx\PersistentHandler;(default): {D3B41FA1-01E3-49AF-AA25-1D0D824275AE}
\Classes\.dotx\ShellEx\PropertyHandler;(default): {5985FC23-2588-4D9A-B38B-7E7AFFAB3155}
\Classes\.dotx\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {84F66100-FF7C-4fb4-B0C0-02CD7FB668FE}
\Classes\.dotx\ShellEx\{BB2E617C-0920-11d1-9A0B-00C04FC2D6C1};(default): {355822FC-86F1-4BE8-B5F0-A33736789641}
\Classes\.dotx\ShellEx;
\Classes\.dotx;"(default): Word.Template.12; Content Type: application/vnd.openxmlformats-officedocument.wordprocessingml.template; PerceivedType: document"
\Classes\.dqy;(default): dqyfile
\Classes\.drc;(default): VLC.drc
\Classes\.drf\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.drf\ShellEx;
\Classes\.drf;"Content Type: image/DRF; PerceivedType: image"
\Classes\.drv\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.drv;"(default): drvfile; PerceivedType: system"
\Classes\.dsn;(default): MSDASQL
\Classes\.dsp\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.dsp;
\Classes\.dsw\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.dsw;
\Classes\.dtcp-ip;"Content Type: application/x-dtcp1; PerceivedType: video"
\Classes\.dts;(default): VLC.dts
\Classes\.dv;(default): VLC.dv
\Classes\.dvr-ms\OpenWithProgIds;WMP.DVR-MSFile: 0
\Classes\.dvr-ms\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.dvr-ms\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.dvr-ms\ShellEx;
\Classes\.dvr-ms;"Content Type: video/x-ms-dvr; PerceivedType: video; (default): VLC.dvr-ms"
\Classes\.ec3;"Content Type: audio/ec3; PerceivedType: audio"
\Classes\.eip\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.eip\ShellEx;
\Classes\.eip;"Content Type: image/EIP; PerceivedType: image"
\Classes\.elm;(default): ELMFile
\Classes\.emf\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.emf;"Content Type: image/x-emf; PerceivedType: image"
\Classes\.eml\OpenWithProgIDs;Outlook.File.eml.15: 0
\Classes\.eml\PersistentHandler;(default): {5645C8C4-E277-11CF-8FDA-00AA00A14F93}
\Classes\.eml;(default): Outlook.File.eml.15
\Classes\.enc;(default): wireshark-capture-file
\Classes\.eps\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.eps;Content Type: application/postscript
\Classes\.epub;Content Type: application/epub+zip
\Classes\.erf;"Content Type: image/ERF; PerceivedType: image; (default): wireshark-capture-file"
\Classes\.etp\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.etp;
\Classes\.evo;(default): VLC.evo
\Classes\.evt;(default): evtfile
\Classes\.evtx;(default): evtxfile
\Classes\.exe\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.exe;"(default): exefile; Content Type: application/x-msdownload"
\Classes\.exp\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.exp;
\Classes\.ext\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.ext;
\Classes\.ex_\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.ex_;
\Classes\.eyb\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.eyb;
\Classes\.f4v;(default): VLC.f4v
\Classes\.faq\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.faq;
\Classes\.fcdt\FormsCentral.fcdt\ShellNew;
\Classes\.fcdt\FormsCentral.fcdt;
\Classes\.fcdt;"Content Type: application/vnd.adobe.formscentral.fcdt; (default): FormsCentral.fcdt"
\Classes\.fdc;(default): wireshark-capture-file
\Classes\.fdf\Acrobat.FDFDoc\ShellNew;
\Classes\.fdf\Acrobat.FDFDoc;
\Classes\.fdf\OpenWithProgids;"(default): 0; Acrobat.FDFDoc: 0"
\Classes\.fdf;"Content Type: application/vnd.fdf; (default): Acrobat.FDFDoc"
\Classes\.fdm;(default): Outlook.File.fdm.15
\Classes\.fff\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.fff\ShellEx;
\Classes\.fff;"Content Type: image/FFF; PerceivedType: image"
\Classes\.fif;Content Type: application/fractals
\Classes\.fky\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.fky;
\Classes\.flac\OpenWithProgIds;WMP11.AssocFile.FLAC: 0
\Classes\.flac\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.flac\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.flac\ShellEx;
\Classes\.flac;"(default): WMP11.AssocFile.FLAC; Content Type: audio/x-flac; PerceivedType: audio"
\Classes\.fluid\shell\open\command;"(default): ""C:\Program Files\Microsoft OneDrive\24.101.0519.0010\OneDriveFileLauncher.exe"" ""%1"""
\Classes\.fluid\shell\open;
\Classes\.fluid\shell;
\Classes\.fluid;
\Classes\.flv;(default): VLC.flv
\Classes\.fnd\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.fnd;
\Classes\.fnt\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.fnt;
\Classes\.fon\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.fon;(default): fonfile
\Classes\.gcsx;(default): GCSXFile
\Classes\.ghi\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.ghi;
\Classes\.gif\OpenWithProgids;"giffile: 0; paint.net.1: 0"
\Classes\.gif\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.gif;"(default): giffile; Content Type: image/gif; PerceivedType: image"
\Classes\.glox;(default): GLOXFile
\Classes\.gmmp;(default): gmmpfile
\Classes\.gqsx;(default): GQSXFile
\Classes\.gra;(default): MSGraph.Chart.8
\Classes\.group;Content Type: text/x-ms-group
\Classes\.grp;(default): MSProgramGroup
\Classes\.gvi;(default): VLC.gvi
\Classes\.gxf;(default): VLC.gxf
\Classes\.gz\OpenWithProgids;ArchiveFolder: 0
\Classes\.gz\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.gz;"PerceivedType: compressed; Content Type: application/x-gzip; (default): ArchiveFolder"
\Classes\.h\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.h;PerceivedType: text
\Classes\.hdp\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.hdp;
\Classes\.heic\OpenWithProgids;paint.net.1: 0
\Classes\.heic\ShellEx\{BB2E617C-0920-11d1-9A0B-00C04FC2D6C1};(default): {3F30C968-480A-4C6C-862D-EFC0897BB84B}
\Classes\.heic\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.heic\ShellEx;
\Classes\.heic;"ContentType: image/heic; PerceivedType: image"
\Classes\.heics;"ContentType: image/heic-sequence; PerceivedType: image"
\Classes\.heif;"ContentType: image/heif; PerceivedType: image"
\Classes\.heifs;"ContentType: image/heif-sequence; PerceivedType: image"
\Classes\.hhc\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.hhc;
\Classes\.hif;"ContentType: image/heif; PerceivedType: image"
\Classes\.hlp;(default): hlpfile
\Classes\.hol\OpenWithProgIDs;Outlook.File.hol.15: 0
\Classes\.hol;(default): Outlook.File.hol.15
\Classes\.hpp\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.hpp;PerceivedType: text
\Classes\.hqx\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.hqx;Content Type: application/mac-binhex40
\Classes\.hta\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.hta;"(default): htafile; Content Type: application/hta; PerceivedType: text"
\Classes\.htc;Content Type: text/x-component
\Classes\.htm\OpenWithList\notepad.exe;(default): 0
\Classes\.htm\OpenWithList;
\Classes\.htm\OpenWithProgIds;"IE.AssocFile.HTM: 0; MSEdgeHTM: 0; ChromeHTML: 0"
\Classes\.htm\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.htm;"(default): htmlfile; Content Type: text/html; PerceivedType: text"
\Classes\.html\OpenWithProgIds;"IE.AssocFile.HTM: 0; MSEdgeHTM: 0; ChromeHTML: 0"
\Classes\.html\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.html;"(default): htmlfile; Content Type: text/html; PerceivedType: text"
\Classes\.htt\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.htt;
\Classes\.htw\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.htw;
\Classes\.htx\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.htx;
\Classes\.hxa\OpenWithProgIDs;MSHelp.hxa.2.5: 0
\Classes\.hxa;"(default): MSHelp.hxa.2.5; Content Type: application/xml"
\Classes\.hxc\OpenWithProgIDs;MSHelp.hxc.2.5: 0
\Classes\.hxc;"(default): MSHelp.hxc.2.5; Content Type: application/xml"
\Classes\.hxd\OpenWithProgIDs;MSHelp.hxd.2.5: 0
\Classes\.hxd;"(default): MSHelp.hxd.2.5; Content Type: application/octet-stream; PerceivedType: system"
\Classes\.hxe\OpenWithProgIDs;MSHelp.hxe.2.5: 0
\Classes\.hxe;"(default): MSHelp.hxe.2.5; Content Type: application/xml"
\Classes\.hxf\OpenWithProgIDs;MSHelp.hxf.2.5: 0
\Classes\.hxf;"(default): MSHelp.hxf.2.5; Content Type: application/xml"
\Classes\.hxh\OpenWithProgIDs;MSHelp.hxh.2.5: 0
\Classes\.hxh;"(default): MSHelp.hxh.2.5; Content Type: application/octet-stream; PerceivedType: system"
\Classes\.hxi\OpenWithProgIDs;MSHelp.hxi.2.5: 0
\Classes\.hxi;"(default): MSHelp.hxi.2.5; Content Type: application/octet-stream; PerceivedType: system"
\Classes\.hxk\OpenWithProgIDs;MSHelp.hxk.2.5: 0
\Classes\.hxk;"(default): MSHelp.hxk.2.5; Content Type: application/xml"
\Classes\.hxq\OpenWithProgIDs;MSHelp.hxq.2.5: 0
\Classes\.hxq;"(default): MSHelp.hxq.2.5; Content Type: application/octet-stream; PerceivedType: system"
\Classes\.hxr\OpenWithProgIDs;MSHelp.hxr.2.5: 0
\Classes\.hxr;"(default): MSHelp.hxr.2.5; Content Type: application/octet-stream; PerceivedType: system"
\Classes\.hxs\OpenWithProgIDs;MSHelp.hxs.2.5: 0
\Classes\.hxs;"(default): MSHelp.hxs.2.5; Content Type: application/octet-stream; PerceivedType: system"
\Classes\.hxt\OpenWithProgIDs;MSHelp.hxt.2.5: 0
\Classes\.hxt;"(default): MSHelp.hxt.2.5; Content Type: application/xml"
\Classes\.hxv\OpenWithProgIDs;MSHelp.hxv.2.5: 0
\Classes\.hxv;"(default): MSHelp.hxv.2.5; Content Type: application/xml"
\Classes\.hxw\OpenWithProgIDs;MSHelp.hxw.2.5: 0
\Classes\.hxw;"(default): MSHelp.hxa.2.5; Content Type: application/octet-stream; PerceivedType: system"
\Classes\.hxx\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.hxx;PerceivedType: text
\Classes\.i\PersistentHandler;OriginalPersistentHandler: {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.i;
\Classes\.ibq\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.ibq;
\Classes\.icc;(default): icmfile
\Classes\.icl;(default): IconLibraryFile
\Classes\.icm\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.icm;(default): icmfile
\Classes\.ico\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.ico;"(default): icofile; Content Type: image/x-icon; PerceivedType: image"
\Classes\.ics\OpenWithProgIDs;Outlook.File.ics.15: 0
\Classes\.ics\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.ics;"(default): Outlook.File.ics.15; Content Type: text/calendar"
\Classes\.idl\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.idl;
\Classes\.idq\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.idq;
\Classes\.ifo;(default): VLC.ifo
\Classes\.igp;(default): Intel.GraphicsControlPanel.igp.1
\Classes\.iiq\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.iiq\ShellEx;
\Classes\.iiq;"Content Type: image/IIQ; PerceivedType: image"
\Classes\.ilk\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.ilk;
\Classes\.imc\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.imc;
\Classes\.imesx;(default): imesxfile
\Classes\.img\OpenWithProgids;Windows.IsoFile: 0
\Classes\.img;(default): Windows.IsoFile
\Classes\.inc\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.inc;PerceivedType: text
\Classes\.inf\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.inf;
\Classes\.ini\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.ini;PerceivedType: text
\Classes\.inl\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.inl;
\Classes\.ino;"ino_backup: 0; (default): ino"
\Classes\.inv\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.inv;
\Classes\.inx\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.inx;
\Classes\.in_\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
